number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.9986560039424712,-0.9986553748168081,-1000000000.0,0.9986553748168081,-0.9986560039424712,-0.9986553748168081,14869.0,breakout,1,"{""adx_thresh"": 34.66628445718266, ""atr_max_pct"": 0.10544909916933344, ""atr_min_pct"": 0.018794196186892768, ""bb_std_mult"": 0.789457096170608, ""edge_cap"": 0.06264454715711536, ""edge_k"": 1.065240965550097, ""ema1"": 29, ""ema2"": 47, ""p_adx"": 18, ""p_atr"": 8, ""p_sma"": 13, ""p_std"": 21, ""rsi_ob"": 75, ""rsi_os"": 9, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.1921240554801612, ""slip_spread_k"": 0.2692050664721932, ""spread_hl_frac"": 0.032201464603549466, ""strategy"": ""breakout"", ""time_stop"": 60, ""tp_mult"": 2.1089910593369483, ""tsl_mult"": 0.2688600578882592, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10300216146658103}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 8.457490347084113, ""atr_max_pct"": 0.060726705531212136, ""atr_min_pct"": 0.020439116947916263, ""bb_std_mult"": 2.2293868379146358, ""edge_cap"": 0.7408871980405427, ""edge_k"": 0.7082069166809817, ""ema1"": 20, ""ema2"": 47, ""p_adx"": 9, ""p_atr"": 25, ""p_sma"": 34, ""p_std"": 55, ""rsi_ob"": 69, ""rsi_os"": 33, ""rsi_period"": 30, ""rsi_required"": true, ""slip_atr_k"": 0.1158743677806065, ""slip_spread_k"": 0.769110367222616, ""spread_hl_frac"": 0.009581551551077684, ""strategy"": ""mean_reversion"", ""time_stop"": 277, ""tp_mult"": 1.694975698551942, ""tsl_mult"": 0.44951874991575647, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23756548818852255}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 28.248433296321412, ""atr_max_pct"": 0.028414594358491172, ""atr_min_pct"": 0.025634135868037883, ""bb_std_mult"": 0.5912905958032529, ""edge_cap"": 0.8113939964058445, ""edge_k"": 0.9459492052861513, ""ema1"": 12, ""ema2"": 51, ""p_adx"": 28, ""p_atr"": 15, ""p_sma"": 10, ""p_std"": 55, ""rsi_ob"": 71, ""rsi_os"": 25, ""rsi_period"": 30, ""rsi_required"": false, ""slip_atr_k"": 0.20940249191758148, ""slip_spread_k"": 0.6342813285005016, ""spread_hl_frac"": 0.015566365234960279, ""strategy"": ""mean_reversion"", ""time_stop"": 233, ""tp_mult"": 1.5824705516201278, ""tsl_mult"": 0.3265888138296016, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.002216535259166985}"
3,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 23.331980964166227, ""atr_max_pct"": 0.012364920714637106, ""atr_min_pct"": 0.024874515252181588, ""bb_std_mult"": 2.118088230817645, ""edge_cap"": 0.8437620765643039, ""edge_k"": 1.51624804012314, ""ema1"": 14, ""ema2"": 47, ""p_adx"": 19, ""p_atr"": 15, ""p_sma"": 14, ""p_std"": 45, ""rsi_ob"": 88, ""rsi_os"": 10, ""rsi_period"": 30, ""rsi_required"": true, ""slip_atr_k"": 0.09962696123896275, ""slip_spread_k"": 0.10582950415067294, ""spread_hl_frac"": 0.01992913257409533, ""strategy"": ""breakout"", ""time_stop"": 267, ""tp_mult"": 2.5429009841104464, ""tsl_mult"": 0.808474741438829, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.15551921013866837}"
4,-0.00015493899335106143,0.0,-1000000000.0,1000000000.0,-0.00015493899335106143,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 6.062429581315383, ""atr_max_pct"": 0.10574426794865348, ""atr_min_pct"": 0.014754180226250033, ""bb_std_mult"": 1.7568221775154427, ""edge_cap"": 0.7021861029282397, ""edge_k"": 0.7421232802360913, ""ema1"": 19, ""ema2"": 58, ""p_adx"": 23, ""p_atr"": 24, ""p_sma"": 25, ""p_std"": 28, ""rsi_ob"": 52, ""rsi_os"": 31, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.07146213140110766, ""slip_spread_k"": 0.6529307268262483, ""spread_hl_frac"": 0.040552026851582434, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 1.3606467303840135, ""tsl_mult"": 0.7865045933240427, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.04716583981629274}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 28.991091755461106, ""atr_max_pct"": 0.04919070609454716, ""atr_min_pct"": 0.024943666290564836, ""bb_std_mult"": 1.0714379325173222, ""edge_cap"": 0.5401052084157056, ""edge_k"": 0.7591620282791853, ""ema1"": 19, ""ema2"": 59, ""p_adx"": 23, ""p_atr"": 20, ""p_sma"": 19, ""p_std"": 34, ""rsi_ob"": 91, ""rsi_os"": 13, ""rsi_period"": 51, ""rsi_required"": true, ""slip_atr_k"": 0.024038140492422533, ""slip_spread_k"": 0.1505674392508347, ""spread_hl_frac"": 0.010945119398369008, ""strategy"": ""mean_reversion"", ""time_stop"": 163, ""tp_mult"": 1.8973539348939623, ""tsl_mult"": 0.7682982872547246, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.026321401289987344}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 30.23889038030939, ""atr_max_pct"": 0.05388320725590021, ""atr_min_pct"": 0.012546221720118458, ""bb_std_mult"": 2.521727376555133, ""edge_cap"": 0.6843014519468934, ""edge_k"": 0.6660726438338838, ""ema1"": 22, ""ema2"": 29, ""p_adx"": 25, ""p_atr"": 26, ""p_sma"": 45, ""p_std"": 41, ""rsi_ob"": 53, ""rsi_os"": 6, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.1379577185592013, ""slip_spread_k"": 0.08041950407707477, ""spread_hl_frac"": 0.010549759933049074, ""strategy"": ""mean_reversion"", ""time_stop"": 36, ""tp_mult"": 2.377185738996514, ""tsl_mult"": 0.895156076511444, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.058945329559249825}"
7,-0.9974702982671196,-0.9974694954125801,-1000000000.0,0.9974694954125801,-0.9974702982671196,-0.9974694954125801,26700.0,breakout,1,"{""adx_thresh"": 7.498040928593932, ""atr_max_pct"": 0.025357460659012912, ""atr_min_pct"": 0.007323550963820533, ""bb_std_mult"": 0.6351291393344253, ""edge_cap"": 0.7837431651308557, ""edge_k"": 0.830171249103862, ""ema1"": 16, ""ema2"": 22, ""p_adx"": 9, ""p_atr"": 18, ""p_sma"": 25, ""p_std"": 55, ""rsi_ob"": 59, ""rsi_os"": 40, ""rsi_period"": 31, ""rsi_required"": false, ""slip_atr_k"": 0.017346858463500814, ""slip_spread_k"": 0.23291487746166362, ""spread_hl_frac"": 0.00470948847125463, ""strategy"": ""breakout"", ""time_stop"": 12, ""tp_mult"": 2.455916994634136, ""tsl_mult"": 0.42820558278167564, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.004725347684840797}"
8,-0.8340939069338976,-0.8340746897497777,-1000000000.0,0.8340746897497777,-0.8340939069338976,-0.8340746897497777,12932.0,mean_reversion,1,"{""adx_thresh"": 23.41861797763282, ""atr_max_pct"": 0.019586774056338522, ""atr_min_pct"": 0.00028591509747942777, ""bb_std_mult"": 2.679442814211653, ""edge_cap"": 0.2071097885889272, ""edge_k"": 0.8001471044181456, ""ema1"": 24, ""ema2"": 36, ""p_adx"": 13, ""p_atr"": 16, ""p_sma"": 39, ""p_std"": 15, ""rsi_ob"": 93, ""rsi_os"": 11, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.17936465462889095, ""slip_spread_k"": 0.761132760646672, ""spread_hl_frac"": 0.00031179160104794493, ""strategy"": ""mean_reversion"", ""time_stop"": 56, ""tp_mult"": 2.956014525705551, ""tsl_mult"": 0.9736578915472085, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06159468516297429}"
9,-0.535805950297551,-0.5357082539941287,-1000000000.0,0.5357082539941287,-0.535805950297551,-0.5357082539941287,4853.0,mean_reversion,1,"{""adx_thresh"": 28.30128233279716, ""atr_max_pct"": 0.11503669994972762, ""atr_min_pct"": 0.02620268472981269, ""bb_std_mult"": 3.016107692151317, ""edge_cap"": 0.707325058974765, ""edge_k"": 0.9718186185307869, ""ema1"": 22, ""ema2"": 46, ""p_adx"": 15, ""p_atr"": 17, ""p_sma"": 44, ""p_std"": 34, ""rsi_ob"": 82, ""rsi_os"": 25, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.22410739545312858, ""slip_spread_k"": 0.22785899684014843, ""spread_hl_frac"": 0.008613416919395395, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 2.541846037864369, ""tsl_mult"": 0.8082669506883036, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.014024238005698964}"
