number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 19.877886494784672, ""atr_max_pct"": 0.116252136971696, ""atr_min_pct"": 0.025910989336746706, ""bb_std_mult"": 0.7156699592990617, ""edge_cap"": 0.7403502268317086, ""edge_k"": 1.599736653877953, ""ema1"": 6, ""ema2"": 25, ""p_adx"": 7, ""p_atr"": 24, ""p_sma"": 7, ""p_std"": 21, ""rsi_ob"": 51, ""rsi_os"": 49, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.165977573656175, ""slip_spread_k"": 0.30811439323687884, ""spread_hl_frac"": 0.02917956381092994, ""strategy"": ""mean_reversion"", ""time_stop"": 216, ""tp_mult"": 2.941265399444824, ""tsl_mult"": 0.7593025527855528, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.053437398467849506}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 25.965823668574643, ""atr_max_pct"": 0.05282812307043976, ""atr_min_pct"": 0.013631709228322488, ""bb_std_mult"": 3.067786209870474, ""edge_cap"": 0.22028414946891017, ""edge_k"": 0.33595014686591385, ""ema1"": 15, ""ema2"": 51, ""p_adx"": 22, ""p_atr"": 21, ""p_sma"": 52, ""p_std"": 19, ""rsi_ob"": 85, ""rsi_os"": 48, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.15009231634553372, ""slip_spread_k"": 0.8983403385846943, ""spread_hl_frac"": 0.0245016112524509, ""strategy"": ""breakout"", ""time_stop"": 179, ""tp_mult"": 2.6419679658025945, ""tsl_mult"": 0.13966465542401996, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2662966311621609}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 20.872319262283845, ""atr_max_pct"": 0.14046285806302092, ""atr_min_pct"": 0.015696080970329148, ""bb_std_mult"": 1.6579154058160743, ""edge_cap"": 0.6340253957757468, ""edge_k"": 0.30154909634325433, ""ema1"": 25, ""ema2"": 55, ""p_adx"": 7, ""p_atr"": 16, ""p_sma"": 52, ""p_std"": 25, ""rsi_ob"": 74, ""rsi_os"": 24, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.04869087063218916, ""slip_spread_k"": 0.8573423604038247, ""spread_hl_frac"": 0.008836478136536258, ""strategy"": ""breakout"", ""time_stop"": 204, ""tp_mult"": 1.5006861086738164, ""tsl_mult"": 0.20830305100300806, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15334101496235483}"
3,-0.007314665139665721,-0.007182470480965355,-0.007314665139665721,0.007182470480965355,-0.007314665139665721,-0.007182470480965355,77.0,breakout,1,"{""adx_thresh"": 13.52429816544554, ""atr_max_pct"": 0.11021462298708921, ""atr_min_pct"": 0.023160765015909395, ""bb_std_mult"": 2.2941127259158, ""edge_cap"": 0.3577612078995967, ""edge_k"": 0.376228106143053, ""ema1"": 17, ""ema2"": 56, ""p_adx"": 27, ""p_atr"": 30, ""p_sma"": 13, ""p_std"": 30, ""rsi_ob"": 67, ""rsi_os"": 29, ""rsi_period"": 60, ""rsi_required"": true, ""slip_atr_k"": 0.18314187182706904, ""slip_spread_k"": 0.002100500892840307, ""spread_hl_frac"": 0.0336464624988347, ""strategy"": ""breakout"", ""time_stop"": 72, ""tp_mult"": 1.3340335203458826, ""tsl_mult"": 0.7607077729941736, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10899283662215259}"
4,0.0007997704853432985,-0.0015407665635753863,-1000000000.0,1000000000.0,0.0007997704853432985,-0.0015407665635753863,8.0,breakout,1,"{""adx_thresh"": 10.86831174886839, ""atr_max_pct"": 0.10418777836617445, ""atr_min_pct"": 0.010259098598632067, ""bb_std_mult"": 2.038009607481089, ""edge_cap"": 0.7880685822248292, ""edge_k"": 0.6384194917098538, ""ema1"": 7, ""ema2"": 22, ""p_adx"": 15, ""p_atr"": 19, ""p_sma"": 42, ""p_std"": 22, ""rsi_ob"": 86, ""rsi_os"": 18, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.054564736283031656, ""slip_spread_k"": 0.06268918940131918, ""spread_hl_frac"": 0.03888885352182052, ""strategy"": ""breakout"", ""time_stop"": 225, ""tp_mult"": 1.573397742668452, ""tsl_mult"": 0.2656556602845208, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10130283595632374}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 8.226257829055013, ""atr_max_pct"": 0.14474342239152402, ""atr_min_pct"": 0.024451902755372207, ""bb_std_mult"": 2.5549036490144883, ""edge_cap"": 0.7161309222097135, ""edge_k"": 1.6117245599077346, ""ema1"": 29, ""ema2"": 16, ""p_adx"": 30, ""p_atr"": 14, ""p_sma"": 59, ""p_std"": 44, ""rsi_ob"": 71, ""rsi_os"": 16, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.23426604263818007, ""slip_spread_k"": 0.7571080307681086, ""spread_hl_frac"": 0.002305964080202677, ""strategy"": ""breakout"", ""time_stop"": 181, ""tp_mult"": 2.1818759620691632, ""tsl_mult"": 0.40425205066472514, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1532025889505892}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 28.749672334094786, ""atr_max_pct"": 0.07519611808594052, ""atr_min_pct"": 0.01522302864121163, ""bb_std_mult"": 2.7646451635258034, ""edge_cap"": 0.09009004179187587, ""edge_k"": 1.7522869991537795, ""ema1"": 12, ""ema2"": 28, ""p_adx"": 19, ""p_atr"": 12, ""p_sma"": 53, ""p_std"": 49, ""rsi_ob"": 57, ""rsi_os"": 5, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.06756599682487485, ""slip_spread_k"": 0.09331338995400074, ""spread_hl_frac"": 0.03765660216383604, ""strategy"": ""mean_reversion"", ""time_stop"": 12, ""tp_mult"": 1.5331414451881573, ""tsl_mult"": 0.60315164156873, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08091520180897488}"
7,-0.0960485054030139,-0.09594335513651595,-1000000000.0,0.09594335513651595,-0.0960485054030139,-0.09594335513651595,710.0,breakout,1,"{""adx_thresh"": 11.669971215926351, ""atr_max_pct"": 0.1271825390111744, ""atr_min_pct"": 0.012950167956898488, ""bb_std_mult"": 3.2511987783720224, ""edge_cap"": 0.09306458606211793, ""edge_k"": 1.384682413008956, ""ema1"": 24, ""ema2"": 56, ""p_adx"": 25, ""p_atr"": 28, ""p_sma"": 59, ""p_std"": 47, ""rsi_ob"": 69, ""rsi_os"": 7, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.006962496833050835, ""slip_spread_k"": 0.680111829304676, ""spread_hl_frac"": 0.04231675995313908, ""strategy"": ""breakout"", ""time_stop"": 138, ""tp_mult"": 2.9578470849824328, ""tsl_mult"": 0.6687691997324811, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17484913818670492}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 15.489418094993797, ""atr_max_pct"": 0.05095440988911155, ""atr_min_pct"": 0.013616964832124484, ""bb_std_mult"": 2.9663813036820494, ""edge_cap"": 0.6498596118607933, ""edge_k"": 1.500552524518015, ""ema1"": 12, ""ema2"": 25, ""p_adx"": 17, ""p_atr"": 26, ""p_sma"": 7, ""p_std"": 24, ""rsi_ob"": 45, ""rsi_os"": 22, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.2206379814272459, ""slip_spread_k"": 0.3791235132960482, ""spread_hl_frac"": 0.025359184286210437, ""strategy"": ""breakout"", ""time_stop"": 76, ""tp_mult"": 2.314555551555107, ""tsl_mult"": 0.49167565114064393, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1755603811793573}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 33.47063623710695, ""atr_max_pct"": 0.06148914316671749, ""atr_min_pct"": 0.028391101523280803, ""bb_std_mult"": 3.4815531625035816, ""edge_cap"": 0.9159506738280714, ""edge_k"": 1.888230800256207, ""ema1"": 22, ""ema2"": 10, ""p_adx"": 15, ""p_atr"": 17, ""p_sma"": 6, ""p_std"": 23, ""rsi_ob"": 66, ""rsi_os"": 52, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.12063499574920322, ""slip_spread_k"": 0.030914548326151814, ""spread_hl_frac"": 0.015303621370796073, ""strategy"": ""breakout"", ""time_stop"": 130, ""tp_mult"": 1.1157477082660339, ""tsl_mult"": 0.12403999137177568, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.036479419477657815}"
